               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,              0.0376,             0.18965,           0.0087761,              0.2757,             0.40646,             0.30543,              0.1792,            0.043518,            0.087804,           0.0070509,           0.0043075,           0.0043075,           0.0043075
                  71,            0.035969,             0.14739,            0.010314,             0.32818,             0.37925,             0.30773,             0.17538,             0.04554,            0.084309,           0.0069738,            0.004225,            0.004225,            0.004225
                  72,            0.040369,             0.16393,            0.010121,             0.31597,             0.38435,             0.30493,             0.18434,            0.044789,            0.083499,           0.0069557,           0.0041425,           0.0041425,           0.0041425
                  73,            0.037983,              0.1469,            0.009704,             0.33076,             0.37415,              0.3055,             0.17262,            0.046356,             0.08375,           0.0069708,             0.00406,             0.00406,             0.00406
                  74,            0.037947,             0.15401,            0.011921,             0.31534,             0.38095,             0.29905,             0.19044,            0.043304,            0.083434,           0.0070035,           0.0039775,           0.0039775,           0.0039775
                  75,            0.034068,             0.15544,            0.009473,             0.27213,             0.40353,             0.28961,             0.17845,            0.044053,            0.088486,           0.0068962,            0.003895,            0.003895,            0.003895
                  76,            0.036095,             0.13667,            0.010213,             0.32009,             0.27891,             0.28994,             0.18622,            0.042993,            0.086682,           0.0069405,           0.0038125,           0.0038125,           0.0038125
                  77,            0.037789,             0.14488,           0.0070669,             0.30269,              0.2896,             0.28457,             0.16448,            0.046251,            0.087321,           0.0068974,             0.00373,             0.00373,             0.00373
                  78,            0.038261,             0.16131,            0.011104,             0.32301,             0.28061,             0.29342,             0.17675,            0.041504,            0.086364,           0.0069395,           0.0036475,           0.0036475,           0.0036475
                  79,            0.035708,             0.15486,            0.011636,             0.27138,             0.46769,             0.28849,             0.14889,            0.045872,            0.089151,           0.0068894,            0.003565,            0.003565,            0.003565
                  80,            0.040921,             0.15822,            0.013059,             0.28233,             0.46406,             0.29181,             0.18468,            0.041418,            0.087013,           0.0069962,           0.0034825,           0.0034825,           0.0034825
                  81,            0.035101,             0.16166,            0.010723,             0.28878,             0.45748,             0.29277,             0.17477,            0.044558,            0.088745,           0.0068899,              0.0034,              0.0034,              0.0034
                  82,            0.035814,             0.14075,           0.0095736,             0.28892,             0.38662,             0.29056,             0.17647,            0.042674,            0.089007,           0.0069275,           0.0033175,           0.0033175,           0.0033175
                  83,            0.033922,             0.15048,           0.0094264,             0.30458,             0.37075,              0.2909,              0.1791,            0.043906,            0.088714,           0.0070657,            0.003235,            0.003235,            0.003235
